"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","用户注册","tests","Wed Jul 15 19:36:42 CST 2026","passed","Wed Jul 15 19:36:42 CST 2026","","test_register","",""
"","3","test_me","tests","Wed Jul 15 19:36:42 CST 2026","passed","Wed Jul 15 19:36:42 CST 2026","","test_me","",""
"","3","test_login[lily-password123]","tests","Wed Jul 15 19:36:42 CST 2026","passed","Wed Jul 15 19:36:42 CST 2026","","test_login","",""
"","217","test_login[tom112-111222]","tests","Wed Jul 15 19:36:41 CST 2026","passed","Wed Jul 15 19:36:41 CST 2026","","test_login","",""
"","7","test_login[admin-111111]","tests","Wed Jul 15 19:36:41 CST 2026","passed","Wed Jul 15 19:36:41 CST 2026","","test_login","",""
"","5","用户注册","tests","Wed Jul 15 19:36:42 CST 2026","passed","Wed Jul 15 19:36:42 CST 2026","","test_register","",""
"","3","test_login[rose-123456]","tests","Wed Jul 15 19:36:42 CST 2026","passed","Wed Jul 15 19:36:42 CST 2026","","test_login","",""
"","5","用户注册","tests","Wed Jul 15 19:36:42 CST 2026","passed","Wed Jul 15 19:36:42 CST 2026","","test_register","",""
"","179","test_login[abc-123456]","tests","Wed Jul 15 19:36:41 CST 2026","passed","Wed Jul 15 19:36:41 CST 2026","","test_login","",""
"","4","test_login[mike-111222]","tests","Wed Jul 15 19:36:42 CST 2026","passed","Wed Jul 15 19:36:42 CST 2026","","test_login","",""
"","191","test_login[jack-123456]","tests","Wed Jul 15 19:36:41 CST 2026","passed","Wed Jul 15 19:36:42 CST 2026","","test_login","",""
